ID,Responded Campaign,Owns Multiple Phone Numbers,Average text messages (90 day period)
2005,Android Phone,N,2162
2006,Android Phone,N,1212
2012,Android Phone,N,1395
2017,Android Phone,N,1322
2020,Android Phone,N,1236
2028,Android Phone,N,1836
2031,Android Phone,N,602
2035,Android Phone,N,1306
2041,Android Phone,Y,1305
2045,Android Phone,Y,1535
2050,Android Phone,Y,1234
2060,Android Phone,N,2090
2063,Android Phone,N,1437
2078,Android Phone,N,1926
2083,Android Phone,Y,1436
2085,Android Phone,N,2571
2087,Android Phone,N,1957
2090,Android Phone,Y,1454
2094,Android Phone,Y,1080
2106,Android Phone,Y,1559
2109,Android Phone,N,1043
2119,Android Phone,N,1806
2122,Android Phone,N,1487
2124,Android Phone,Y,1537
2131,Android Phone,Y,1105
2136,Android Phone,Y,1895
2141,Android Phone,N,1564
2144,Android Phone,Y,1792
2145,Android Phone,N,1997
2147,Android Phone,Y,1237
2148,Android Phone,N,1715
2150,Android Phone,Y,1442
2153,Android Phone,Y,1423
2154,Android Phone,Y,1377
2165,Android Phone,Y,1520
2167,Android Phone,N,2435
2169,Android Phone,N,2431
2173,Android Phone,Y,1388
2174,Android Phone,Y,1595
2175,Android Phone,Y,1784
2182,Android Phone,N,2243
2185,Android Phone,N,1842
2195,Android Phone,Y,1779
2198,Android Phone,Y,1713
2201,Android Phone,N,1859
2202,Android Phone,Y,1808
2204,Android Phone,Y,1408
2211,Android Phone,N,1584
2218,Android Phone,Y,1658
2220,Android Phone,N,2540
2232,Android Phone,Y,1131
2234,Android Phone,N,2194
2236,Android Phone,N,1511
2238,Android Phone,N,2057
2239,Android Phone,N,2120
2256,Android Phone,N,1359
2258,Android Phone,N,1369
2262,Android Phone,Y,1784
2267,Android Phone,Y,1464
2270,Android Phone,N,438
2275,Android Phone,N,2230
2276,Android Phone,N,1476
2277,Android Phone,Y,1309
2279,Android Phone,Y,1239
2281,Android Phone,N,2422
2286,Android Phone,Y,1342
2294,Android Phone,Y,1153
2300,Android Phone,Y,1210
2301,Android Phone,Y,1384
2312,Android Phone,Y,1419
2322,Android Phone,N,2457
2329,Android Phone,N,1810
2334,Android Phone,Y,1265
2337,Android Phone,N,1604
2338,Android Phone,Y,1188
2341,Android Phone,Y,1717
2354,Android Phone,N,2488
2373,Android Phone,N,1775
2377,Android Phone,Y,1587
2386,Android Phone,Y,1532
2388,Android Phone,Y,1061
2400,Android Phone,Y,1390
2405,Android Phone,Y,1598
2409,Android Phone,Y,1126
2410,Android Phone,N,788
2413,Android Phone,Y,1588
2414,Android Phone,N,2400
2416,Android Phone,Y,1212
2422,Android Phone,Y,1590
2423,Android Phone,N,1281
2429,Android Phone,Y,1015
2436,Android Phone,Y,1248
2438,Android Phone,N,2266
2442,Android Phone,Y,1237
2444,Android Phone,Y,1550
2451,Android Phone,Y,1561
2452,Android Phone,N,2517
2455,Android Phone,N,1841
2460,Android Phone,N,1646
2485,Android Phone,N,1502
2487,Android Phone,Y,1578
2489,Android Phone,N,2544
2491,Android Phone,N,1764
2492,Android Phone,Y,1621
2529,Android Phone,N,2124
2531,Android Phone,Y,1700
2544,Android Phone,N,2308
2548,Android Phone,Y,1481
2559,Android Phone,Y,1493
2560,Android Phone,N,1260
2575,Android Phone,N,2188
2576,Android Phone,N,1792
2577,Android Phone,N,1550
2584,Android Phone,N,1097
2586,Android Phone,N,1590
2595,Android Phone,Y,1864
2599,Android Phone,N,808
2602,Android Phone,Y,1101
2607,Android Phone,Y,1415
2609,Android Phone,N,2203
2610,Android Phone,Y,1685
2617,Android Phone,Y,1036
2620,Android Phone,N,1571
2622,Android Phone,N,2308
2624,Android Phone,Y,1366
2627,Android Phone,Y,1111
2647,Android Phone,Y,1302
2654,Android Phone,N,1950
2660,Android Phone,Y,1309
2662,Android Phone,Y,1439
2663,Android Phone,Y,1274
2672,Android Phone,Y,1606
2673,Android Phone,N,1042
2675,Android Phone,N,824
2695,Android Phone,N,1445
2711,Android Phone,Y,1695
2714,Android Phone,N,1557
2715,Android Phone,Y,1730
2720,Android Phone,N,1338
2729,Android Phone,Y,1900
2736,Android Phone,Y,1749
2743,Android Phone,N,1749
2745,Android Phone,N,1172
2756,Android Phone,N,2559
2760,Android Phone,Y,1223
2771,Android Phone,N,1639
2772,Android Phone,Y,1615
2792,Android Phone,Y,1376
2795,Android Phone,N,1385
2800,Android Phone,Y,1429
2802,Android Phone,Y,1070
2803,Android Phone,Y,1308
2807,Android Phone,Y,1227
2814,Android Phone,Y,1250
2818,Android Phone,N,1926
2819,Android Phone,N,2635
2821,Android Phone,N,904
2825,Android Phone,Y,1440
2827,Android Phone,N,1543
2845,Android Phone,Y,1274
2848,Android Phone,N,1594
2852,Android Phone,Y,1779
2858,Android Phone,N,2357
2859,Android Phone,N,1946
2860,Android Phone,Y,1054
2861,Android Phone,Y,1311
2862,Android Phone,N,2490
2863,Android Phone,N,1893
2870,Android Phone,Y,1244
2886,Android Phone,N,1723
2891,Android Phone,Y,1701
2899,Android Phone,N,599
2908,Android Phone,Y,1367
2925,Android Phone,N,1995
2926,Android Phone,N,1891
2928,Android Phone,Y,1844
2932,Android Phone,Y,1349
2939,Android Phone,Y,1698
2942,Android Phone,N,2170
2946,Android Phone,N,2635
2951,Android Phone,Y,1460
2965,Android Phone,N,2542
2982,Android Phone,Y,1554
2984,Android Phone,N,1322
2992,Android Phone,N,1883
2993,Android Phone,Y,1761
2997,Android Phone,N,2154
2998,Android Phone,N,1892
3002,Android Phone,N,2521
3009,Android Phone,Y,1359
3010,Android Phone,N,884
3011,Android Phone,N,2483
3012,Android Phone,Y,1609
3016,Android Phone,N,2349
3037,Android Phone,N,166
3050,Android Phone,Y,1782
3053,Android Phone,Y,1806
3054,Android Phone,N,1362
3056,Android Phone,Y,1311
3057,Android Phone,Y,1086
3062,Android Phone,Y,1609
3066,Android Phone,N,187
3067,Android Phone,Y,1340
3068,Android Phone,Y,1376
3071,Android Phone,Y,1045
3078,Android Phone,Y,1344
3081,Android Phone,Y,1578
3085,Android Phone,N,1880
3094,Android Phone,N,1536
3099,Android Phone,N,1920
3103,Android Phone,Y,1622
3104,Android Phone,Y,1375
3111,Android Phone,Y,1582
3138,Android Phone,Y,1603
3144,Android Phone,Y,1027
3152,Android Phone,Y,1030
3157,Android Phone,Y,1618
3162,Android Phone,Y,1523
3168,Android Phone,Y,1365
3171,Android Phone,Y,1265
3172,Android Phone,Y,1671
3176,Android Phone,Y,1547
3186,Android Phone,Y,1030
3188,Android Phone,N,2167
3189,Android Phone,Y,1429
3194,Android Phone,Y,1486
3196,Android Phone,Y,1824
3212,Android Phone,N,1436
3216,Android Phone,Y,1747
3219,Android Phone,Y,1698
3222,Android Phone,N,1798
3226,Android Phone,Y,1818
3228,Android Phone,N,1322
3232,Android Phone,N,1785
3236,Android Phone,N,1513
3241,Android Phone,Y,1775
3242,Android Phone,N,2029
3254,Android Phone,Y,1126
3259,Android Phone,N,2143
3272,Android Phone,Y,1513
3282,Android Phone,N,2596
3283,Android Phone,Y,1732
3288,Android Phone,Y,1233
3297,Android Phone,Y,1881
3298,Android Phone,Y,1334
3306,Android Phone,Y,1693
3307,Android Phone,Y,1093
3317,Android Phone,Y,1164
3322,Android Phone,Y,1833
3328,Android Phone,N,2197
3333,Android Phone,Y,1302
3336,Android Phone,N,1377
3338,Android Phone,N,1769
3343,Android Phone,N,2406
3348,Android Phone,Y,1317
3352,Android Phone,N,739
3359,Android Phone,Y,1181
3362,Android Phone,Y,1869
3387,Android Phone,N,1013
3388,Android Phone,Y,1302
3389,Android Phone,Y,1321
3397,Android Phone,Y,1559
3406,Android Phone,Y,1683
3409,Android Phone,N,2259
3410,Android Phone,Y,1247
3414,Android Phone,Y,1246
3416,Android Phone,Y,1610
3418,Android Phone,Y,1452
3424,Android Phone,N,942
3440,Android Phone,Y,1876
3441,Android Phone,N,681
3451,Android Phone,Y,1239
3460,Android Phone,Y,1726
3466,Android Phone,N,1591
3467,Android Phone,Y,1537
3469,Android Phone,Y,1538
3470,Android Phone,Y,1851
3476,Android Phone,N,1432
3650,Android Phone,N,1234
3654,Android Phone,N,1984
3656,Android Phone,Y,1345
3660,Android Phone,Y,1819
3663,Android Phone,N,1986
3673,Android Phone,N,2556
3675,Android Phone,N,2512
3676,Android Phone,Y,1615
3677,Android Phone,Y,1769
3678,Android Phone,Y,1577
3680,Android Phone,Y,1723
3681,Android Phone,Y,1638
3682,Android Phone,Y,1802
3684,Android Phone,Y,1400
3685,Android Phone,Y,1419
3699,Android Phone,Y,1825
3701,Android Phone,Y,1554
3702,Android Phone,N,1628
3703,Android Phone,N,1180
3708,Android Phone,Y,1269
3709,Android Phone,N,1344
3711,Android Phone,Y,1517
3712,Android Phone,N,1972
3716,Android Phone,Y,1018
3717,Android Phone,N,1639
3719,Android Phone,N,1881
3720,Android Phone,N,489
3721,Android Phone,Y,1224
3724,Android Phone,Y,1604
3728,Android Phone,Y,1462
3729,Android Phone,N,2291
3731,Android Phone,Y,1705
3732,Android Phone,N,1876
3741,Android Phone,N,1852
3742,Android Phone,Y,1092
3756,Android Phone,N,879
3760,Android Phone,Y,1557
3766,Android Phone,Y,1785
3768,Android Phone,Y,1792
3783,Android Phone,N,1679
3786,Android Phone,Y,1229
3789,Android Phone,Y,1446
3791,Android Phone,N,1979
3796,Android Phone,Y,1353
3799,Android Phone,Y,1332
3800,Android Phone,Y,1124
3821,Android Phone,Y,1279
3823,Android Phone,Y,1511
3824,Android Phone,N,1207
3825,Android Phone,Y,1322
1,Dual SIM,Y,2466
14,Dual SIM,Y,1627
17,Dual SIM,Y,2289
22,Dual SIM,Y,1347
35,Dual SIM,Y,1173
36,Dual SIM,Y,896
54,Dual SIM,Y,1625
62,Dual SIM,N,1579
63,Dual SIM,Y,1662
71,Dual SIM,N,1749
90,Dual SIM,N,2379
96,Dual SIM,Y,1870
117,Dual SIM,Y,1598
139,Dual SIM,N,1644
142,Dual SIM,N,1842
161,Dual SIM,Y,1502
180,Dual SIM,Y,1158
181,Dual SIM,Y,2686
182,Dual SIM,N,126
192,Dual SIM,Y,1576
194,Dual SIM,Y,1751
195,Dual SIM,Y,1457
201,Dual SIM,Y,1286
218,Dual SIM,N,1110
220,Dual SIM,N,1699
224,Dual SIM,N,1560
228,Dual SIM,Y,1381
233,Dual SIM,Y,622
236,Dual SIM,Y,1583
239,Dual SIM,N,1455
240,Dual SIM,N,1333
247,Dual SIM,N,1215
276,Dual SIM,N,1751
284,Dual SIM,Y,1099
298,Dual SIM,Y,1039
313,Dual SIM,N,1518
379,Dual SIM,N,1845
382,Dual SIM,N,1561
384,Dual SIM,Y,1807
407,Dual SIM,Y,1775
410,Dual SIM,Y,1535
421,Dual SIM,Y,2178
422,Dual SIM,Y,609
423,Dual SIM,Y,1841
424,Dual SIM,Y,2552
442,Dual SIM,N,1853
443,Dual SIM,Y,2538
461,Dual SIM,Y,1763
463,Dual SIM,Y,1586
465,Dual SIM,N,1314
469,Dual SIM,Y,1249
474,Dual SIM,Y,1714
477,Dual SIM,Y,1212
479,Dual SIM,N,212
497,Dual SIM,Y,1345
565,Dual SIM,Y,1669
574,Dual SIM,Y,1819
577,Dual SIM,Y,1596
595,Dual SIM,Y,1646
599,Dual SIM,Y,1521
650,Dual SIM,N,1698
666,Dual SIM,Y,1475
678,Dual SIM,N,1667
714,Dual SIM,Y,1238
715,Dual SIM,N,2180
717,Dual SIM,Y,1710
725,Dual SIM,N,1897
741,Dual SIM,N,1043
745,Dual SIM,N,2511
754,Dual SIM,Y,886
755,Dual SIM,Y,1533
756,Dual SIM,Y,1357
758,Dual SIM,Y,1567
762,Dual SIM,Y,1756
766,Dual SIM,Y,1736
769,Dual SIM,Y,1886
771,Dual SIM,Y,1567
791,Dual SIM,N,2240
800,Dual SIM,N,1376
817,Dual SIM,N,1945
829,Dual SIM,N,1664
832,Dual SIM,N,1384
866,Dual SIM,N,1551
872,Dual SIM,Y,2435
887,Dual SIM,Y,1015
891,Dual SIM,Y,1732
898,Dual SIM,Y,1241
926,Dual SIM,N,1814
934,Dual SIM,Y,2626
951,Dual SIM,N,1632
955,Dual SIM,Y,2432
956,Dual SIM,Y,2270
962,Dual SIM,Y,2313
967,Dual SIM,N,2215
979,Dual SIM,N,1941
981,Dual SIM,N,1305
1005,Dual SIM,Y,1042
1018,Dual SIM,Y,1258
1022,Dual SIM,Y,1205
1023,Dual SIM,Y,1487
1035,Dual SIM,Y,1594
1042,Dual SIM,N,2080
1084,Dual SIM,N,1843
1105,Dual SIM,N,1098
1108,Dual SIM,N,1763
1111,Dual SIM,N,875
1134,Dual SIM,Y,1102
1144,Dual SIM,Y,1610
1159,Dual SIM,Y,1706
1162,Dual SIM,N,1684
1163,Dual SIM,N,1672
1182,Dual SIM,N,454
1222,Dual SIM,Y,1627
1239,Dual SIM,Y,1977
1243,Dual SIM,Y,2161
1252,Dual SIM,Y,1722
1256,Dual SIM,N,1315
1261,Dual SIM,N,347
1270,Dual SIM,Y,1572
1309,Dual SIM,Y,1188
1310,Dual SIM,Y,1013
1311,Dual SIM,N,1581
1313,Dual SIM,N,1142
1314,Dual SIM,N,1382
1316,Dual SIM,Y,1761
1318,Dual SIM,Y,1315
1324,Dual SIM,N,1342
1325,Dual SIM,N,1389
1327,Dual SIM,N,1535
1329,Dual SIM,N,1736
1336,Dual SIM,Y,2531
1342,Dual SIM,Y,1540
1344,Dual SIM,Y,1685
1346,Dual SIM,Y,1076
1350,Dual SIM,Y,1104
1357,Dual SIM,Y,2222
1365,Dual SIM,Y,2321
1370,Dual SIM,N,1146
1375,Dual SIM,N,1685
1422,Dual SIM,N,1650
1429,Dual SIM,N,1229
1442,Dual SIM,N,1567
1445,Dual SIM,Y,1858
1463,Dual SIM,Y,2203
1482,Dual SIM,Y,1807
1484,Dual SIM,Y,1652
1485,Dual SIM,Y,1660
1486,Dual SIM,Y,1359
1494,Dual SIM,Y,1348
1495,Dual SIM,Y,1221
1497,Dual SIM,Y,1230
1502,Dual SIM,N,1538
1532,Dual SIM,N,1161
1537,Dual SIM,N,1259
1539,Dual SIM,Y,1138
1545,Dual SIM,Y,495
1565,Dual SIM,Y,1440
1576,Dual SIM,Y,1140
1611,Dual SIM,Y,1557
1619,Dual SIM,N,1267
1620,Dual SIM,N,269
1628,Dual SIM,N,1382
1631,Dual SIM,N,2078
1677,Dual SIM,N,1216
1680,Dual SIM,Y,1338
1694,Dual SIM,Y,2492
1716,Dual SIM,Y,1398
1758,Dual SIM,Y,2069
1768,Dual SIM,Y,1043
1774,Dual SIM,Y,1678
1788,Dual SIM,N,1385
1816,Dual SIM,Y,1819
1822,Dual SIM,Y,1228
1840,Dual SIM,N,1214
1886,Dual SIM,N,1375
1891,Dual SIM,N,1345
1892,Dual SIM,Y,1574
1906,Dual SIM,Y,1176
1972,Dual SIM,Y,1584
1975,Dual SIM,Y,1946
1976,Dual SIM,Y,1942
1982,Dual SIM,N,2241
1986,Dual SIM,N,2634
2007,Dual SIM,N,1173
2009,Dual SIM,Y,1829
2010,Dual SIM,Y,1356
2046,Dual SIM,Y,1270
2061,Dual SIM,Y,2044
2062,Dual SIM,N,2297
2146,Dual SIM,Y,1213
2155,Dual SIM,N,470
2158,Dual SIM,Y,1514
2207,Dual SIM,N,1420
2217,Dual SIM,N,2314
2223,Dual SIM,Y,1532
2230,Dual SIM,N,1581
2251,Dual SIM,Y,1533
2260,Dual SIM,N,1400
2264,Dual SIM,Y,1100
2274,Dual SIM,N,1852
2280,Dual SIM,Y,1570
2317,Dual SIM,N,1706
2351,Dual SIM,N,1892
2372,Dual SIM,N,1890
2378,Dual SIM,Y,1520
2420,Dual SIM,Y,1215
2437,Dual SIM,N,1858
2457,Dual SIM,Y,2376
2464,Dual SIM,Y,1831
2471,Dual SIM,Y,1715
2484,Dual SIM,N,1537
2506,Dual SIM,Y,1758
2507,Dual SIM,N,
2508,Dual SIM,Y,2362
2512,Dual SIM,N,1940
2527,Dual SIM,Y,1696
2536,Dual SIM,Y,1464
2543,Dual SIM,Y,1739
2569,Dual SIM,Y,1361
2574,Dual SIM,Y,1894
2597,Dual SIM,Y,1668
2604,Dual SIM,Y,1733
2612,Dual SIM,Y,1382
2621,Dual SIM,Y,1639
2623,Dual SIM,Y,1900
2649,Dual SIM,Y,1627
2657,Dual SIM,Y,1645
2687,Dual SIM,Y,1846
2698,Dual SIM,Y,1007
2699,Dual SIM,N,1859
2702,Dual SIM,Y,1881
2717,Dual SIM,Y,1542
2724,Dual SIM,N,1706
2731,Dual SIM,Y,1680
2748,Dual SIM,Y,1562
2753,Dual SIM,N,2459
2817,Dual SIM,Y,1875
2837,Dual SIM,N,2030
2851,Dual SIM,Y,2081
2854,Dual SIM,Y,1622
2864,Dual SIM,Y,1348
2871,Dual SIM,Y,1294
2879,Dual SIM,Y,1770
2913,Dual SIM,Y,1732
2937,Dual SIM,Y,1009
2945,Dual SIM,Y,2406
2959,Dual SIM,Y,1648
2962,Dual SIM,Y,1245
2963,Dual SIM,N,2605
2978,Dual SIM,N,1688
2979,Dual SIM,Y,1622
3000,Dual SIM,Y,1557
3007,Dual SIM,N,1680
3063,Dual SIM,Y,1295
3115,Dual SIM,Y,1162
3123,Dual SIM,Y,1842
3143,Dual SIM,Y,1226
3153,Dual SIM,Y,1706
3180,Dual SIM,Y,1435
3190,Dual SIM,N,2478
